id,titre,chambres,surface_m2,dort,gp_nuit,voiture,jardin,hot_tub_sauna,note,nb_echanges,localisation,alerte,priorite,url
2908299,"House in Iceland – 4ch hot tub garden",4,229,8,241,OUI,OUI (clos + BBQ),OUI (jacuzzi),,0,"Reykjavik","241 GP ; voiture + jacuzzi + jardin clos ; hôte récent (0 échanges)",3,https://www.homeexchange.com/holiday-home/2908299
1764873,"Large private villa with great sea views",5,290,10,323,OUI,OUI (1400m² + terrasse),OUI (jacuzzi + BBQ),,7,"Reykjavik (quartier privé)","323 GP > 280 notre maison ; grande villa ; mais GP défavorable",3,https://www.homeexchange.com/holiday-home/1764873
2764456,"Hildur – House looking for exchange summer 2026",6,235,8,235,NON (prise VE seulement),OUI (backyard + BBQ + balcon),NON,,3,"Fossvogur Reykjavik (10 min centre en voiture)","Cherche été 2026 ; 6 chambres ; mais PAS de voiture pour échange",3,https://www.homeexchange.com/holiday-home/2764456
2368650,"Great house with hot tub in suburbs of Reykjavik",4,200,7,328,OUI,OUI (grand jardin + BBQ),OUI (jacuzzi),,0,"Breidholt (banlieue Reykjavik)","328 GP > 280 ; titre dit 5ch mais réalité 4ch ; banlieue ; GP défavorable",3,https://www.homeexchange.com/holiday-home/2368650
2787480,"Erla Rut – House with private garden in Reykjavik",5,200,9,348,NON,OUI (backyard + BBQ),NON,,0,"Reykjavik centre","348 GP >> 280 ; pas de voiture ; trop cher en GP",4,https://www.homeexchange.com/holiday-home/2787480
1389893,"Cozy house with outdoor sauna and hot tub",4,240,9,308,NON,OUI (backyard + BBQ),OUI (sauna privé + jacuzzi),,10,"Reykjavik (vue golf)","308 GP > 280 ; pas de voiture malgré cadre exceptionnel ; GP défavorable",4,https://www.homeexchange.com/holiday-home/1389893
2248609,"Nice family house with a garden and a hot tub",4,237,8,345,NON,OUI (backyard + BBQ),OUI (jacuzzi),,7,"Reykjavik","345 GP >> 280 ; pas de voiture ; trop cher",4,https://www.homeexchange.com/holiday-home/2248609
1290011,"2 for 1 in Iceland! Reykjavik villa + country house",4,330,7,384,OUI,OUI (backyard + BBQ),OUI (jacuzzi),,3,"Reykjavik + maison de campagne","384 GP >> 280 ; concept 2 bases intéressant mais GP prohibitif",4,https://www.homeexchange.com/holiday-home/1290011
3043216,"Gísli – House with private garden in Kópavogur",4,170,?,342,?,OUI,NON,,?,"Kópavogur (banlieue S)","342 GP > 280 ; GP défavorable",4,https://www.homeexchange.com/holiday-home/3043216
3101681,"Five bedroom flat in the heart of Reykjavik",5,180,8,?,NON,NON,NON,,?,"Reykjavik ouest (à pied du centre)","Pas de voiture nécessaire selon desc ; chat ; appartement 2 niveaux",4,https://www.homeexchange.com/holiday-home/3101681
2728586,"Toti & Lara – 4 bedroom plain-pied with private garden",4,?,?,224,?,OUI (privé),NON,5.0/5,?,"Reykjavik","Plain-pied ; très bon score 5.0/5 ; à vérifier voiture",3,https://www.homeexchange.com/holiday-home/2728586
2222443,"Terraced house with garden",4,?,?,194,?,OUI,NON,5.0/5,2,"Reykjavik","Très bon score (2 avis seulement) ; 194 GP avantageux",3,https://www.homeexchange.com/holiday-home/2222443
2108534,"Pétur – House with private garden in Kópavogurbær",4,?,?,?,?,OUI,NON,,?,"Kópavogur","Open space cuisine/salon ; à vérifier voiture et GP",4,https://www.homeexchange.com/holiday-home/2108534
1478884,"Nice house in quiet area with amazing view",4,200,?,?,?,?,NON,,?,"Reykjavik (quartier calme)","200m² vue incroyable ; à vérifier",4,https://www.homeexchange.com/holiday-home/1478884
2666386,"Family friendly w/ nature & VOLCANO view",4,?,?,?,?,OUI (jardin ensoleillé),NON,,?,"Reykjavik (vue volcan)","Moderne 2 étages ; jardin ensoleillé + vue volcan",4,https://www.homeexchange.com/holiday-home/2666386
2969827,"Stefanía & Haukur's place – forest + nature",4,?,?,?,?,?,NON,,?,"Reykjavik (forêt Öskjuhlíð, near Perlan)","Townhouse entre ville et nature",4,https://www.homeexchange.com/holiday-home/2969827
2077500,"Looking for European exchange – pool or beach",4,?,?,?,?,?,NON,,?,"Reykjavik","Design art & musique ; demande plage/piscine – correspondance difficile",4,https://www.homeexchange.com/holiday-home/2077500
3003911,"Tómas Oddur – House with private garden in Reykjavik",4,?,?,?,?,OUI,NON,,?,"Greater Reykjavik area","Grand maison familiale bien équipée",4,https://www.homeexchange.com/holiday-home/3003911
3065532,"Erlendur & Jovana – Charming stylish home centrally located",5,?,?,?,?,?,NON,,?,"Reykjavik centre","5 chambres ; appartement moderne ; à vérifier",4,https://www.homeexchange.com/holiday-home/3065532
1484319,"Bára – House with private garden in Kópavogurbær",4,?,?,?,?,OUI,NON,,?,"Kópavogur","Description vide – à vérifier directement",4,https://www.homeexchange.com/holiday-home/1484319
1461078,"Family home close to Reykjavík city centre",4,?,?,?,?,OUI (grand privé),NON,,?,"Reykjavik (proche centre)","Large private garden mentionné ; à vérifier GP et voiture",4,https://www.homeexchange.com/holiday-home/1461078
2855430,"Family friendly home – 5 minutes walk to downtown Reykjavik",4,?,?,?,?,?,NON,,?,"West Reykjavik (5 min à pied centre)","Maison récemment rénovée ; excellente localisation ; à vérifier",4,https://www.homeexchange.com/holiday-home/2855430
2938299,"Oddný – House with private garden in Reykjavik",4,?,?,?,?,OUI,NON,,?,"Reykjavik","2 étages ; conçu pour familles",4,https://www.homeexchange.com/holiday-home/2938299
1417344,"Duplex in Reykjavík – Looking for exchange summer 2026",4,?,?,?,?,OUI (terrasse),NON,,?,"Reykjavik","Cherche été 2026 ; duplex avec terrasse + piano",4,https://www.homeexchange.com/holiday-home/1417344
2752896,"Spacious penthouse near Reykjavik city centre",4,171,7,?,NON,NON (penthouse),NON,,?,"Reykjavik centre","Penthouse vue mer/montagne ; mais pas de jardin ni voiture",4,https://www.homeexchange.com/holiday-home/2752896
2769788,"Kristjana – House with private garden in Reykjavik",4,?,?,?,NON,OUI (privé + aire de jeux),NON,,?,"Reykjavik","Appartement dans maison 2 familles ; jardin + aire de jeux enfants",4,https://www.homeexchange.com/holiday-home/2769788
2430840,"Zaiser's home",4,?,?,?,?,?,NON,,?,"Reykjavik","Accepte simultané et non simultané",4,https://www.homeexchange.com/holiday-home/2430840
1453558,"High end luxury home – short and long term exchange",4,?,?,?,?,?,NON,,?,"Reykjavik","Luxe construit 2017 ; GP probablement très élevé",4,https://www.homeexchange.com/holiday-home/1453558
3101054,"Lakehouse – modern villa near Reykjavik",4,?,?,?,?,?,NON,,?,"Brekkuhvarf (près Reykjavik)","'Lakehouse' = peut être hors centre",4,https://www.homeexchange.com/holiday-home/3101054
1991088,"3-4 bdr family house with sunroom and garden in central Reykjavík",3-4,?,?,?,?,OUI (BBQ),NON,,?,"Reykjavik centre","Titre dit 3-4ch = peut être insuffisant ; sunroom agréable",4,https://www.homeexchange.com/holiday-home/1991088
2498224,"Berglind – Apartment with private garden in Reykjavik",4,120,?,?,NON,OUI (privé),NON,,?,"Reykjavik (proche centre)","120m² petit pour 4 ; appartement",4,https://www.homeexchange.com/holiday-home/2498224
1405295,"Charming 5 bedroom family home with garden – 20 min from city centre",5,?,?,?,?,OUI,NON,,?,"Reykjavik (~20 min centre)","5 chambres ; construit 2005 ; à vérifier GP voiture",4,https://www.homeexchange.com/holiday-home/1405295
214731,"Spacious family home with hot tub & garden near Reykjavík",5,?,?,?,?,OUI,OUI (hot tub),,?,"près de Reykjavik","Même desc que 1405295 (construit 2005) – possible doublon ou même propriétaire",4,https://www.homeexchange.com/holiday-home/214731
2929802,"Boði – Apartment with private garden in Reykjavik",4,?,?,?,?,OUI (privé),NON,,?,"Reykjavik","4ch + jardin privé ; à vérifier",4,https://www.homeexchange.com/holiday-home/2929802
1741521,"Family house in Reykjavík",4,?,?,?,?,?,NON,,?,"Seljahverfi Reykjavik","3 étages ; quartier calme",4,https://www.homeexchange.com/holiday-home/1741521
568641,"Perfect house for family trip in Iceland",4,?,?,?,?,OUI (BBQ),NON (piscine publique 700m),,?,"Reykjavik","Jardin BBQ ; piscine publique à 700m",4,https://www.homeexchange.com/holiday-home/568641
2984472,"Gudrun's apartment",3-4,163,?,?,?,OUI (terrasse),NON,,?,"Reykjavik","3 ou 4 chambres incertain ; 163m²",4,https://www.homeexchange.com/holiday-home/2984472
2694053,"Gunnar's house – townhouse 5.5km from centre",4,?,?,?,?,?,NON,,?,"Reykjavik (5.5km centre)","Townhouse correct mais un peu loin",4,https://www.homeexchange.com/holiday-home/2694053
1502428,"Family home in Alftanes – Looking for S-Europe reciprocal",4,?,?,?,?,OUI (grand),NON,,?,"Alftanes (~10 km de Reykjavik)","Cherche S-Europe réciproque uniquement ; banlieue éloignée",4,https://www.homeexchange.com/holiday-home/1502428
2177686,"Very well located spacious apartment in Kopavogur",4,?,?,?,?,NON,NON,,?,"Kópavogur","Très peu d'infos",4,https://www.homeexchange.com/holiday-home/2177686
2130474,"Vigdis – House with private garden 10 min from Reykjavik",4,?,?,?,?,OUI (grand),NON,,?,"10 min de Reykjavik","Grand jardin enfants ; légèrement hors centre",4,https://www.homeexchange.com/holiday-home/2130474
2815270,"Sandra & Kristinn's apartment in Garðabær",4,?,?,?,?,?,NON,,?,"Garðabær (10 min centre)","Peu d'infos disponibles",4,https://www.homeexchange.com/holiday-home/2815270
2206045,"Townhouse 15 min drive from downtown Reykjavík",4,?,?,?,EXCLU,NON,NON,,?,"Reykjavik banlieue","EXCLU : uniquement échanges réciproques/simultanés sans GP",5,https://www.homeexchange.com/holiday-home/2206045
1449029,"Fantastic family house in the heart of Reykjavík – no GP exchange",4,?,?,?,EXCLU,OUI,NON,,?,"Reykjavik (vieille ville)","EXCLU : 'no GuestPoints exchange – only reciprocal'",5,https://www.homeexchange.com/holiday-home/1449029
1412117,"Looking for mai/june exchange with family of 5",4,?,?,?,?,?,NON,,?,"Reykjavik","EXCLU : cherche mai/juin seulement (pas juillet/août)",5,https://www.homeexchange.com/holiday-home/1412117
